year,tmin_c
1931,-2.2
1932,-5.6
1933,-9.4
1934,-3.9
1935,-7.8
1936,-6.1
1939,-2.2
1940,-15.0
1941,-1.7
1947,-5.0
1948,-5.6
1949,-12.2
1950,-7.2
1951,-10.0
1952,-3.9
1953,-3.3
1954,-3.9
1955,-3.3
1956,-0.6
1957,-5.0
1958,-3.3
1959,-5.6
1960,-3.3
1961,-2.2
1962,-8.3
1963,-8.3
1964,-6.1
1965,-5.0
1966,-6.7
1967,-3.3
1968,-2.2
1969,-2.8
1970,-7.2
1971,-3.3
1972,-3.9
1973,-6.1
1974,-0.6
1975,-3.9
1976,-6.1
1977,-6.7
1978,-4.4
1979,-8.9
1980,-4.4
1981,-6.7
1982,-9.4
1983,-10.6
1984,-5.0
1985,-6.7
1986,0.6
1987,-1.7
1988,-3.3
1989,-12.8
1990,-6.1
1991,1.1
1992,-1.7
1993,-1.1
1994,-2.8
1995,-5.6
1996,-5.0
1997,-1.1
1998,-1.7
1999,-1.7
2000,-1.1
2001,-1.7
2002,-3.9
2003,-2.2
2004,-2.2
2005,1.1
2006,-1.1
2007,-1.7
2008,0.0
2009,-2.8
2010,-6.1
2011,-5.0
2012,-0.6
2013,-0.6
2014,-3.8
2015,-1.0
2016,0.0
2017,-4.9
2018,-7.1
2019,-0.5
2020,0.0
2021,-9.3
2022,-8.2
2023,2.8
2024,-6.6
2025,-7.7
