year,lsl
1928,5.3310
1929,4.2143
1930,4.9020
1931,3.7853
1932,4.2729
1933,7.9593
1934,3.4436
1935,4.0297
1936,6.6137
1937,4.2995
1938,4.0850
1939,3.7524
1940,4.7387
1941,3.3431
1944,3.7987
1945,4.4864
1946,4.4721
1947,4.3265
1948,5.1028
1949,4.1271
1950,3.6141
1951,4.4003
1952,3.9856
1953,4.3715
1954,3.9569
1955,4.1427
1956,5.9262
1957,5.2130
1958,4.9001
1959,3.4848
1960,5.1699
1961,4.6569
1962,6.7423
1963,3.9261
1964,5.0141
1965,4.1992
1966,3.7846
1967,4.1705
1968,4.3562
1969,4.3419
1970,3.9272
1971,4.4116
1972,4.3578
1973,4.4845
1974,4.0404
1975,3.5241
1976,3.2997
1977,4.6863
1978,5.7021
1979,3.6963
1980,3.4129
1981,4.0973
1982,5.1427
1983,4.1802
1984,3.7065
1985,4.2302
1986,4.4881
1987,4.5919
1988,4.7383
1989,3.7429
1990,3.7679
1991,4.4032
1992,4.6414
1993,4.0267
1994,4.3306
1995,3.6272
1996,4.0886
1997,4.5040
1998,5.5756
1999,4.8362
2000,4.4380
2001,3.7674
2002,3.6284
2003,6.8227
2004,3.9999
2005,3.8904
2006,5.5460
2007,3.6484
2008,4.6675
2009,6.5233
2010,4.5601
2011,6.3567
2012,5.5648
2013,4.2644
2014,3.8104
2015,5.2494
2016,4.8774
2017,3.9477
2018,3.8809
2019,4.4702
2020,4.1146
2021,4.1101
2022,4.7158
2023,4.3471
2024,4.0703
2025,4.7580
