track,lon,lat
0,-78.7970,25.2639
0,-79.0658,25.3792
0,-79.3062,25.4983
0,-79.3983,25.5641
0,-79.5154,25.6326
0,-79.6360,25.7404
0,-79.7247,25.8669
0,-79.7443,25.9841
0,-79.7339,26.1013
0,-79.7460,26.2184
0,-79.7431,26.3356
0,-79.7053,26.4528
0,-79.6524,26.5699
0,-79.5995,26.6571
0,-79.5616,26.8043
0,-79.5512,27.0914
0,-79.5708,27.4386
0,-79.6031,27.7407
0,-79.6801,28.0729
0,-79.8196,28.4751
0,-79.9893,28.9073
0,-80.1663,29.3320
0,-80.2985,29.7416
0,-80.3333,30.1162
0,-80.3078,30.4759
0,-80.2774,30.8356
0,-80.2170,31.2103
0,-80.1514,31.6199
0,-80.0262,32.0446
0,-79.7961,32.4693
0,-79.5354,32.8789
0,-79.3842,33.2457
0,-79.1447,33.6133
0,-78.6521,34.0232
0,-78.0539,34.4476
0,-77.5225,34.8419
0,-76.9631,35.2819
0,-76.3291,35.8026
0,-75.6724,36.4163
1,-87.8151,27.2203
1,-87.3412,27.4733
1,-86.8676,27.7568
1,-86.4371,27.9868
1,-85.9202,28.2934
1,-85.1848,28.7821
1,-84.3727,29.3300
1,-83.6630,29.8272
1,-82.9253,30.2666
1,-82.0423,30.5703
1,-81.1779,30.9032
1,-80.4952,31.4251
1,-79.8304,32.0398
1,-79.0600,32.7097
1,-78.1830,33.2764
1,-77.3151,33.4823
1,-76.1355,33.7130
1,-74.4539,34.2728
2,-83.3929,29.5047
2,-82.8700,30.3535
2,-82.4403,30.8131
2,-81.5859,31.4054
2,-80.7795,31.8845
2,-79.9019,32.3573
2,-78.8893,32.9106
2,-77.8179,33.5092
2,-76.7537,34.1573
2,-75.7339,34.7611
2,-74.7964,35.2688
2,-73.9498,35.6129
2,-73.1908,35.7329
2,-72.4658,35.7648
2,-71.6662,35.8757
2,-70.8818,36.0167
2,-70.1675,36.1997
2,-69.4978,36.3686
2,-68.8404,36.4667
2,-68.2137,36.5205
2,-67.5765,36.5465
2,-67.0297,36.5724
2,-66.6201,36.6105
2,-66.3457,36.7242
