year,lsl
1928,5.053426445840445
1929,3.9072833147568886
1930,4.602452182596641
1931,3.406178840230588
1932,3.8627728953621236
1933,7.345167020779247
1934,3.0943084169273365
1935,3.524969378827647
1936,6.246425587682688
1937,3.775208910101991
1938,3.6077280258632056
1939,3.2624162561871546
1940,4.173709477988988
1941,2.932388598791372
1942,3.1586835781411233
1943,3.7566636880261717
1944,3.348578930195201
1945,3.877037107672885
1946,3.9025028763527847
1947,3.909337210417191
1948,4.5137204395727855
1949,3.6458883885233524
1950,3.2735988266877603
1951,3.8798980392861853
1952,3.4805927712758584
1953,3.889112854899987
1954,3.595379933244646
1955,3.6600446883351916
1956,5.406631420047903
1957,4.75551825285538
1958,4.353949442107408
1959,3.1810634115940988
1960,4.634117253871272
1961,4.1576253322206504
1962,6.2171515039774805
1963,3.6699246605304476
1964,4.703711472541342
1965,3.908427488944019
1966,3.4107467047099598
1967,3.729459545296564
1968,3.973279755245758
1969,3.8777879648605564
1970,3.477243854792124
1971,3.9228620609067706
1972,3.687801471567918
1973,3.9251567762077686
1974,3.5826172413379833
1975,3.0292634946644776
1976,3.0712190471143535
1977,4.498091794604441
1978,5.189476368964153
1979,3.2721921104040077
1980,3.1102410759959653
1981,3.8250259920420904
1982,4.764030084852407
1983,3.5457227735231727
1984,3.162925000239041
1985,3.8318633223073144
1986,4.089105514207985
1987,4.101761466460529
1988,4.507719012497072
1989,3.434322154508084
1990,3.5105365146993615
1991,3.973578377617182
1992,4.150073101774163
1993,3.57167137070195
1994,4.070722698618153
1995,3.263278412972351
1996,3.4854602468578038
1997,3.9301091216337682
1998,4.843972093385587
1999,4.309724019942713
2000,4.037762975154062
2001,3.3976778694615226
2002,3.3611470655209197
2003,6.333257304737593
2004,3.5251840318115972
2005,3.234810010906171
2006,5.04371719160105
2007,3.277600627404451
2008,4.255284826503928
2009,5.9034343202818835
2010,3.913491068325363
2011,5.776258703963375
2012,4.981044409663956
2013,3.769157333501121
2014,3.2424750416471912
2015,4.79310634115941
2016,4.302563432559318
2017,3.4045500305612486
2018,3.265506088280061
2019,3.75711110811491
2020,3.4733767163155154
2021,3.52561601888805
