stnid,name,state,lon,lat,year,date,precip_in
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,1987,1987-06-11,3.99
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,1988,1988-09-02,3.71
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,1989,1989-08-01,7.46
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,1991,1991-04-04,3.3
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,1992,1992-05-26,4.05
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,1993,1993-10-20,4.19
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,1994,1994-10-17,7.31
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,1995,1995-05-29,5.62
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,1996,1996-06-24,3.46
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,1997,1997-04-25,5.32
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,1998,1998-09-10,6.56
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,1999,1999-05-12,4.68
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,2000,2000-04-02,2.81
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,2001,2001-06-08,10.29
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,2002,2002-08-15,6.52
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,2003,2003-11-17,3.96
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,2004,2004-11-01,4.18
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,2005,2005-07-14,3.6
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,2006,2006-10-15,6.59
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,2007,2007-08-15,4.04
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,2008,2008-09-12,7.17
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,2009,2009-04-17,7.41
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,2010,2010-07-01,5.78
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,2011,2011-10-09,3.93
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,2012,2012-05-11,6.85
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,2013,2013-10-30,3.96
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,2014,2014-09-17,4.14
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,2015,2015-05-25,5.98
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,2016,2016-04-17,4.5
60-0019,TURKEY CK AT FM 1959,TX,-95.1869,29.5845,2017,2017-08-26,18.31
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,1987,1987-06-11,5.41
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,1988,1988-09-29,2.85
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,1989,1989-06-26,9.23
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,1990,1990-10-17,2.38
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,1991,1991-02-20,3.46
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,1992,1992-02-24,3.32
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,1993,1993-10-20,3.6
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,1994,1994-10-17,6.92
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,1995,1995-12-17,4.5
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,1996,1996-09-18,4.4
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,1997,1997-02-11,3.56
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,1998,1998-09-10,9.97
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,1999,1999-05-12,3.21
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,2000,2000-11-18,2.67
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,2001,2001-06-08,11.26
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,2002,2002-08-15,5.1
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,2003,2003-11-17,3.93
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,2004,2004-11-01,3.28
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,2005,2005-07-14,2.49
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,2006,2006-10-15,6.91
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,2007,2007-08-16,4.61
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,2008,2008-09-12,5.99
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,2009,2009-04-17,7.44
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,2010,2010-11-02,4.8
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,2011,2011-10-09,4.0
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,2012,2012-05-11,5.01
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,2013,2013-10-30,5.48
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,2014,2014-05-26,3.86
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,2015,2015-05-25,5.87
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,2016,2016-05-27,4.22
60-0022,ARMAND BYU AT GENOARED BLF RD,TX,-95.1123,29.6345,2017,2017-08-26,19.17
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,1989,1989-05-17,12.05
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,1990,1990-06-25,1.96
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,1991,1991-11-17,4.32
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,1992,1992-12-14,2.99
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,1993,1993-03-01,4.21
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,1994,1994-10-17,9.75
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,1995,1995-12-17,3.46
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,1996,1996-09-26,6.27
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,1997,1997-12-20,4.25
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,1998,1998-10-17,12.16
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,1999,1999-05-12,3.53
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,2000,2000-05-19,5.84
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,2001,2001-06-05,5.51
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,2002,2002-10-28,5.41
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,2003,2003-10-09,4.4
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,2004,2004-11-17,4.47
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,2005,2005-12-14,4.32
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,2006,2006-10-15,6.13
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,2007,2007-05-03,3.68
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,2008,2008-09-12,8.42
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,2009,2009-04-17,3.35
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,2010,2010-07-02,3.5
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,2011,2011-11-08,3.24
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,2012,2012-02-03,4.0
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,2013,2013-09-20,5.08
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,2014,2014-07-31,5.23
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,2015,2015-10-31,5.98
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,2016,2016-05-26,7.28
60-0068,E FORK SAN JACINTO AT FM 1485,TX,-95.1245,30.1453,2017,2017-08-27,13.87
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,1987,1987-11-24,3.59
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,1988,1988-07-20,1.69
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,1989,1989-05-17,9.84
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,1990,1990-10-17,2.56
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,1991,1991-04-14,3.06
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,1992,1992-04-17,4.76
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,1993,1993-02-28,1.66
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,1994,1994-10-17,4.39
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,1995,1995-12-17,2.33
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,1996,1996-06-18,2.45
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,1997,1997-09-22,3.42
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,1998,1998-10-17,8.35
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,1999,1999-05-12,2.23
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,2000,2000-05-19,2.59
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,2001,2001-06-08,11.01
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,2002,2002-11-03,3.39
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,2003,2003-11-17,7.03
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,2004,2004-11-17,3.75
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,2005,2005-12-14,5.59
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,2006,2006-10-15,7.78
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,2007,2007-10-15,5.62
60-0082,CYPRESS CK AT KUYKENDAHL RD,TX,-95.4764,30.0244,2008,2008-09-13,10.51
