year,CO2_ppm
1832,284.30000000000007
1833,284.1
1834,284.00000000000006
1835,283.79999999999995
1836,283.69999999999993
1837,283.5000000000001
1838,283.40000000000003
1839,283.40000000000003
1840,283.40000000000003
1841,283.40000000000003
1842,283.5000000000001
1843,283.59999999999997
1844,283.69999999999993
1845,283.90000000000003
1846,284.1
1847,284.19999999999993
1848,284.3999999999999
1849,284.5999999999999
1850,284.7000000000001
1851,284.89999999999986
1852,285.00000000000006
1853,285.0999999999999
1854,285.3
1855,285.4
1856,285.5999999999999
1857,285.6999999999999
1858,285.8999999999999
1859,286.10000000000014
1860,286.1999999999999
1861,286.40000000000003
1862,286.50000000000006
1863,286.6
1864,286.7999999999999
1865,286.89999999999986
1866,287.00000000000006
1867,287.1000000000001
1868,287.19999999999993
1869,287.4
1870,287.50000000000006
1871,287.7000000000001
1872,287.9
1873,288.09999999999997
1874,288.40000000000003
1875,288.6999999999999
1876,289.00000000000006
1877,289.4
1878,289.7999999999999
1879,290.2
1880,290.7000000000001
1881,291.2
1882,291.70000000000005
1883,292.0999999999999
1884,292.59999999999997
1885,293.0000000000001
1886,293.2999999999999
1887,293.60000000000014
1888,293.7999999999999
1889,293.99999999999994
1890,294.2000000000001
1891,294.3000000000001
1892,294.49999999999994
1893,294.59999999999997
1894,294.6999999999999
1895,294.7999999999999
1896,294.9
1897,295.0000000000001
1898,295.2
1899,295.50000000000006
1900,295.79999999999995
1901,296.10000000000014
1902,296.50000000000006
1903,296.79999999999995
1904,297.2
1905,297.5999999999999
1906,298.1
1907,298.5
1908,298.90000000000003
1909,299.2999999999999
1910,299.6999999999999
1911,300.0999999999999
1912,300.39999999999986
1913,300.80000000000007
1914,301.09999999999997
1915,301.40000000000003
1916,301.6999999999999
1917,302.10000000000014
1918,302.4000000000001
1919,302.6999999999999
1920,302.9999999999999
1921,303.4000000000001
1922,303.80000000000007
1923,304.1000000000001
1924,304.5
1925,305.00000000000006
1926,305.4
1927,305.7999999999999
1928,306.29999999999995
1929,306.79999999999995
1930,307.20000000000005
1931,307.70000000000005
1932,308.1999999999999
1933,308.5999999999999
1934,309.0000000000001
1935,309.3999999999999
1936,309.79999999999995
1937,310.00000000000006
1938,310.20000000000005
1939,310.3
1940,310.4000000000001
1941,310.4000000000001
1942,310.3
1943,310.20000000000005
1944,310.09999999999997
1945,310.09999999999997
1946,310.09999999999997
1947,310.20000000000005
1948,310.3
1949,310.5
1950,310.69999999999993
1951,311.1000000000001
1952,311.49999999999994
1953,311.8999999999999
1954,312.40000000000003
1955,312.9999999999999
1956,313.5999999999999
1957,314.2
1958,315.0659562694769
1959,315.7903592575303
1960,316.60485308977815
1961,317.3219198752795
1962,318.0768598153599
1963,318.696112307634
1964,319.4082653908631
1965,320.01791616512133
1966,321.08445721751553
1967,321.99036036295644
1968,322.92497580707516
1969,324.21140531038293
1970,325.24053457915306
1971,326.05948000326555
1972,327.1782149430693
1973,328.83768032267847
1974,329.6954604884128
1975,330.7143234726915
1976,331.76322882441315
1977,333.2215026575167
1978,334.556401074617
1979,336.8358333333335
1980,338.76250000000005
1981,340.11916666666656
1982,341.47833333333335
1983,343.15333333333314
1984,344.8675
1985,346.3516666666666
1986,347.6083333333333
1987,349.3116666666667
1988,351.69
1989,353.2050000000001
1990,354.45250000000016
1991,355.7041666666667
1992,356.54583333333346
1993,357.2149999999998
1994,358.9591666666667
1995,360.96833333333336
1996,362.74333333333334
1997,363.87749999999994
1998,366.83999999999986
1999,368.53999999999985
2000,369.7075000000001
2001,371.31916666666655
2002,373.45250000000016
2003,375.98333333333335
2004,377.6983333333332
2005,379.98249999999996
2006,382.09083333333336
2007,384.0249999999998
2008,385.8308333333334
2009,387.64249999999987
2010,390.1016666666666
2011,391.8508333333334
2012,394.0558333333333
2013,396.7375000000001
2014,398.8125000000001
2015,401.0125000000002
2016,404.41249999999997
2017,406.75833333333355
2018,408.71500000000015
2019,411.6541666666665
2020,414.23833333333334
2021,416.4508333333333
2022,418.63099999999986
