date,prcp_in
11/24/1931,2.53
08/14/1932,4.17
07/23/1933,2.90
04/06/1934,3.68
12/08/1935,2.99
05/10/1936,4.45
07/12/1939,4.25
11/24/1940,4.53
09/23/1941,4.60
07/04/1942,3.04
11/02/1943,5.63
09/27/1944,5.62
08/27/1945,14.63
11/03/1946,4.35
05/20/1947,3.85
11/16/1948,4.19
10/07/1949,9.95
01/01/1950,3.22
03/26/1951,3.45
02/01/1952,3.88
08/29/1953,3.37
10/05/1954,2.85
02/04/1955,2.60
01/21/1956,1.66
10/14/1957,5.42
09/07/1958,2.67
07/24/1959,3.98
06/26/1960,6.57
06/18/1961,5.63
11/27/1962,2.75
06/21/1963,2.70
12/10/1964,3.26
05/22/1965,2.73
04/14/1966,5.18
12/09/1967,2.52
05/10/1968,6.35
12/05/1969,2.80
05/21/1970,4.22
09/10/1971,2.65
04/27/1972,6.20
07/07/1973,7.07
10/31/1974,3.68
06/09/1975,4.85
06/15/1976,5.75
04/20/1977,3.62
11/26/1978,3.05
09/19/1979,8.83
01/20/1980,2.30
05/03/1981,9.48
05/13/1982,3.60
08/18/1983,6.50
08/14/1984,4.18
11/11/1985,4.28
06/04/1986,4.86
07/07/1987,2.63
03/17/1988,1.88
08/01/1989,8.58
04/26/1990,2.56
05/08/1991,4.26
11/01/1992,3.08
10/20/1993,7.02
10/17/1994,7.86
12/17/1995,4.18
06/25/1996,3.30
01/27/1997,4.10
09/11/1998,5.87
05/12/1999,2.32
10/16/2000,3.07
06/08/2001,11.12
08/15/2002,4.97
10/09/2003,2.85
11/01/2004,3.50
07/14/2005,3.73
10/15/2006,8.73
03/13/2007,3.50
09/12/2008,8.05
04/17/2009,6.79
07/01/2010,5.02
10/09/2011,4.60
05/11/2012,4.58
04/27/2013,5.69
05/26/2014,3.03
10/24/2015,6.30
04/17/2016,4.74
08/26/2017,16.86
